number,name,type,zone,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
64092,Nizamuddin Parikrama EMU,Del,NR,NZM,DELHI H NIZAMUDDIN,LPNR,LAJPAT NAGAR,19:00:00,20:22:00,1.0,22.0,32.0,,0,0,0,0,0,0
64093,Nizamuddin Shakurbasti Parikrama,Del,NR,NZM,DELHI H NIZAMUDDIN,SSB,SHAKURBASTI,09:47:00,10:35:00,0.0,48.0,22.0,64094,0,0,0,0,0,0
64094,Nizamuddin Parikrama,Del,NR,SSB,SHAKURBASTI,NZM,DELHI H NIZAMUDDIN,08:30:00,09:13:00,0.0,43.0,22.0,64093,0,0,0,0,0,0
64095,Shakurbasti New Delhi Parikrama,Del,NR,NDLS,NEW DELHI,SSB,SHAKURBASTI,09:35:00,10:43:00,1.0,8.0,28.0,,0,0,0,0,0,0
64096,Nizamuddin Parikrama EMU,Del,NR,SSB,SHAKURBASTI,NZM,DELHI H NIZAMUDDIN,10:45:00,11:30:00,0.0,45.0,22.0,,0,0,0,0,0,0
64449,Ghaziabad New Delhi Ladies Special,MEMU,NR,GZB,GHAZIABAD,NDLS,NEW DELHI,08:45:00,09:35:00,0.0,50.0,25.0,64450,0,0,0,0,0,0
64450,New Delhi Ghaziabad Ladies Special,MEMU,?,NDLS,NEW DELHI,GZB,GHAZIABAD,17:50:00,18:35:00,0.0,45.0,25.0,64449,0,0,0,0,0,0
64491,Palwal NDLS Ladies Special,MEMU,?,PWL,PALWAL,NDLS,NEW DELHI,08:25:00,09:55:00,1.0,30.0,56.0,64492,0,0,0,0,0,0
12374,RAMPURHAT - SEALDAH Intercity SF Exp,,,RPH,RAMPUR HAT,SDAH,KOLKATA SEALDAH,None,None,,,,12373,0,0,0,0,0,0
12373,SEALDAH - RAMPURHAT Intercity SF Exp,,,SDAH,KOLKATA SEALDAH,RPH,RAMPUR HAT,None,None,,,,12374,0,0,0,0,0,0
13258,ANAND VIHAR DELHI - DANAPUR JanSadharan Exp,,,ANVT,ANAND VIHAR TRM,DNR,DANAPUR,None,None,,,,13257,0,0,0,0,0,0
13257,DANAPUR - DELHI ANAND VIHAR Jan Sadharan Express,,,DNR,DANAPUR,ANVT,ANAND VIHAR TRM,None,None,,,,13258,0,0,0,0,0,0
57326,GUNTUR - KACHEGUDA PASS,,,GNT,GUNTUR JN,KCG,KACHEGUDA,None,None,,,,57325,0,0,0,0,0,0
57325,KACHEGUDA - GUNTUR PASS,,,KCG,KACHEGUDA,GNT,GUNTUR JN,None,None,,,,57326,0,0,0,0,0,0
11064,SALEM - CHENNAI EGMORE Exp,Exp,CR,SA,SALEM JN,MS,CHENNAI EGMORE,21:00:00,04:50:00,7.0,50.0,353.0,11063,1,1,1,1,0,0
11272,BHOPAL - ITARSI Vindhyachal Exp,Exp,WCR,BPL,BHOPAL JN,ET,ITARSI JN,18:00:00,12:20:00,18.0,20.0,738.0,11271,1,0,0,0,0,0
12163,DADAR - CHENNAI EGMORE SF Exp,,,DR,MUMBAI DADAR CENTRAL,MS,CHENNAI EGMORE,None,None,,,,12164,1,1,1,1,0,0
12164,DADAR - CHENNAI EGMORE SF Exp,,,MS,CHENNAI EGMORE,DR,MUMBAI DADAR CENTRAL,None,None,,,,12163,1,1,1,1,0,0
12319,KOLKATA CHITPUR - AGRA CANTT SF Exp,SF,ER,KOAA,KOLKATA CHITPUR,AGC,AGRA CANTT,13:10:00,12:00:00,22.0,50.0,1405.0,12320,1,1,1,0,0,0
12403,Allahabad Mathura SF Express,SF,NCR,ALD,ALLAHABAD JN,MTJ,MATHURA JN,23:30:00,08:20:00,8.0,50.0,507.0,12404,1,1,1,1,0,0
12407,NEW JALPAIGURI - AMRITSAR Karmabhoomi Exp,SF,NR,NJP,NEW JALPAIGURI,ASR,AMRITSAR JN,08:15:00,17:25:00,33.0,10.0,1823.0,12408,0,0,0,0,0,0
